nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Ac228,824.934,0.05,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1344.082->519.195,gamma
Ac228,830.486,0.54,0.021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1226.566->396.083,gamma
Ac228,835.71,1.61,0.06,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1022.531->186.827,gamma
Ac228,840.377,0.91,0.04,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1168.377->328.006,gamma
Ac228,853.17,0.0031,0.0004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1944.83->1091.020,gamma
Ac228,853.17,0.0088,0.0018,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,,gamma
Ac228,870.46,0.044,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1893.02->1022.531,gamma
Ac228,873.17,0.031,0.006,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1059.94->186.827,gamma
Ac228,874.44,0.047,0.01,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,874.48->0.0,gamma
Ac228,877.46,0.014,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1899.97->1022.531,gamma
Ac228,880.76,0.0062,0.0018,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,938.61->57.763,gamma
Ac228,887.33,0.027,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,2010.20->1122.949,gamma
Ac228,901.23,0.016,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1297.440->396.083,gamma
Ac228,904.2,0.77,0.03,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1091.020->186.827,gamma
